"group","location","species_name","species","length","weight","distance","DDT_conc"
1,1,"catfish",1,42.5,732,314,10
1,1,"catfish",1,44,795,314,16
1,1,"catfish",1,41.5,547,314,23
1,1,"catfish",1,39,465,314,21
1,1,"catfish",1,50.5,1252,314,50
1,1,"catfish",1,52,1255,314,150
1,2,"catfish",1,40.5,741,313,28
1,2,"catfish",1,48,1151,313,7.7
1,2,"catfish",1,48,1186,313,2
1,2,"catfish",1,43.5,754,313,19
1,2,"catfish",1,40.5,679,313,16
1,2,"catfish",1,47.5,985,313,5.4
1,3,"catfish",1,44.5,1133,283,2.6
1,3,"catfish",1,46,1139,283,3.1
1,3,"catfish",1,48,1186,283,3.5
1,3,"catfish",1,45,984,283,9.1
1,3,"catfish",1,43,965,283,7.8
1,3,"catfish",1,45,1084,283,4.1
1,4,"catfish",1,48,986,275,8.4
1,4,"catfish",1,45,1023,275,15
1,4,"catfish",1,49,1266,275,25
1,4,"catfish",1,50,1086,275,5.6
1,4,"catfish",1,46,1044,275,4.6
1,4,"catfish",1,52,1770,275,8.2
1,5,"catfish",1,48,1048,280,6.1
1,5,"catfish",1,51,1641,280,13
1,5,"catfish",1,48.5,1331,280,6
1,5,"catfish",1,51,1728,280,6.6
1,5,"catfish",1,44,917,280,5.5
1,5,"catfish",1,51,1398,280,11
1,5,"buffalo",2,49,1763,280,4.5
1,5,"buffalo",2,46,1459,280,4.2
1,5,"buffalo",2,52,2302,280,3
1,5,"buffalo",2,46,1614,280,2.3
1,5,"buffalo",2,46,1444,280,2.5
1,5,"buffalo",2,48,2006,280,6.8
1,6,"catfish",1,44,936,285,19
1,6,"catfish",1,42,1058,285,7.2
1,6,"catfish",1,42.5,800,285,6
1,6,"catfish",1,45.5,1087,285,10
1,6,"catfish",1,48,1329,285,12
1,6,"catfish",1,44,897,285,2.8
1,6,"bass",3,28.5,778,285,0.48
1,6,"bass",3,26,532,285,0.18
1,6,"bass",3,25.5,441,285,0.34
1,6,"bass",3,25,544,285,0.11
1,6,"bass",3,23,393,285,0.22
1,6,"bass",3,28,733,285,0.8
2,7,"catfish",1,41,961,290,8.7
2,7,"catfish",1,44,886,290,22
2,7,"catfish",1,41,678,290,13
2,7,"catfish",1,42,1011,290,3.5
2,7,"catfish",1,42.5,947,290,9.3
2,7,"catfish",1,44,989,290,21
1,7,"buffalo",2,43.5,1291,290,3.4
1,7,"buffalo",2,46.5,1186,290,13
1,7,"buffalo",2,43,1293,290,5.6
1,7,"buffalo",2,47,1709,290,12
1,7,"buffalo",2,46,1425,290,21
1,7,"buffalo",2,41,1176,290,8
1,8,"catfish",1,36,980,295,12
1,8,"catfish",1,47.5,1176,295,6
1,8,"catfish",1,41.5,989,295,4.7
1,8,"catfish",1,49.5,1084,295,31
1,8,"catfish",1,46,1115,295,5.2
1,8,"catfish",1,46.5,724,295,27
1,9,"catfish",1,36,847,300,18
1,9,"catfish",1,37,876,300,7.5
1,9,"catfish",1,35,844,300,3
1,9,"catfish",1,36,908,300,13
1,9,"catfish",1,48,1358,300,7.3
1,9,"catfish",1,49,1019,300,15
1,9,"buffalo",2,35.5,1300,300,1.3
1,9,"buffalo",2,46,1365,300,4.8
